Frequency (Hz)	Level (dB)
1512.707520	-73.102852
1518.090820	-85.050606
1523.474121	-70.514854
1528.857422	-73.155228
1534.240723	-67.991798
1539.624023	-66.791611
1545.007324	-68.973175
1550.390625	-76.822502
1555.773926	-74.146332
1561.157227	-72.688293
1566.540527	-63.970997
1571.923828	-60.366669
1577.307129	-64.908859
1582.690430	-68.291901
1588.073730	-83.678932
1593.457031	-66.547066
1598.840332	-66.632301
1604.223633	-66.647957
1609.606934	-60.064178
1614.990234	-64.094330
1620.373535	-63.784462
1625.756836	-65.349068
1631.140137	-71.348274
1636.523438	-68.349014
1641.906738	-68.585403
1647.290039	-68.965408
1652.673340	-74.426453
1658.056641	-74.700760
1663.439941	-66.285675
1668.823242	-71.602791
1674.206543	-66.895363
1679.589844	-69.069771
1684.973145	-70.044762
1690.356445	-70.431602
1695.739746	-64.006088
1701.123047	-63.536152
1706.506348	-62.968540
1711.889648	-68.415039
1717.272949	-71.284744
1722.656250	-60.275936
1728.039551	-60.459324
1733.422852	-62.016289
1738.806152	-70.453484
1744.189453	-60.195751
1749.572754	-58.070568
1754.956055	-60.358551
1760.339355	-58.766556
1765.722656	-58.050365
1771.105957	-60.885689
1776.489258	-79.444702
1781.872559	-66.599037
1787.255859	-68.015228
1792.639160	-71.707047
1798.022461	-72.859894
1803.405762	-82.917397
1808.789062	-76.056145
1814.172363	-62.211521
1819.555664	-57.758583
1824.938965	-59.122402
1830.322266	-67.294968
1835.705566	-68.614815
1841.088867	-70.285866
1846.472168	-72.009933
1851.855469	-84.050949
1857.238770	-79.855392
1862.622070	-73.222649
1868.005371	-78.162430
1873.388672	-72.098137
1878.771973	-78.817017
1884.155273	-65.523056
1889.538574	-56.770000
1894.921875	-56.215034
1900.305176	-61.395214
1905.688477	-77.495697
1911.071777	-69.051575
1916.455078	-62.816837
1921.838379	-70.182854
1927.221680	-62.210285
1932.604980	-60.990524
1937.988281	-67.285637
1943.371582	-61.628601
1948.754883	-63.710667
1954.138184	-61.894882
1959.521484	-59.573734
1964.904785	-74.949257
1970.288086	-68.455177
1975.671387	-72.374535
1981.054688	-64.675507
1986.437988	-63.991558
1991.821289	-59.333374
1997.204590	-66.442467
2002.587891	-67.248650
2007.971191	-71.686974
2013.354492	-80.722404
2018.737793	-61.352173
2024.121094	-62.176231
2029.504395	-70.708939
2034.887695	-70.009964
2040.270996	-82.399956
2045.654297	-71.852448
2051.037598	-71.826241
2056.420898	-69.284775
2061.804199	-73.631477
2067.187500	-60.234783
2072.570801	-63.000576
2077.954102	-66.167786
2083.337402	-73.610802
2088.720703	-74.673828
2094.104004	-71.495415
2099.487305	-70.072937
2104.870605	-66.855202
2110.253906	-62.141701
2115.637207	-60.217514
2121.020508	-62.288570
2126.403809	-70.095146
2131.787109	-75.967560
2137.170410	-62.058655
2142.553711	-62.848377
2147.937012	-68.621185
2153.320312	-65.477585
2158.703613	-63.555599
2164.086914	-69.064827
2169.470215	-69.803841
2174.853516	-85.306183
2180.236816	-71.282997
2185.620117	-70.059227
2191.003418	-70.526581
2196.386719	-68.675438
2201.770020	-66.026978
2207.153320	-57.942047
2212.536621	-62.312340
2217.919922	-72.731712
2223.303223	-78.199478
2228.686523	-76.892426
2234.069824	-68.833900
2239.453125	-64.729858
2244.836426	-67.290665
2250.219727	-62.000965
2255.603027	-62.561413
2260.986328	-70.498108
2266.369629	-60.949245
2271.752930	-60.475582
2277.136230	-67.867355
2282.519531	-79.769028
2287.902832	-71.268196
2293.286133	-69.614944
2298.669434	-75.567764
2304.052734	-76.764053
2309.436035	-66.751038
2314.819336	-62.265656
2320.202637	-66.219803
2325.585938	-70.371399
2330.969238	-77.968040
2336.352539	-67.205193
2341.735840	-63.940380
2347.119141	-79.150291
2352.502441	-71.598526
2357.885742	-80.308678
2363.269043	-80.374626
2368.652344	-74.174149
2374.035645	-72.415764
2379.418945	-75.684280
2384.802246	-75.540680
2390.185547	-70.160210
2395.568848	-69.265869
2400.952148	-64.976265
2406.335449	-62.725906
2411.718750	-63.924736
2417.102051	-64.145699
2422.485352	-73.294342
2427.868652	-67.826271
2433.251953	-67.693390
2438.635254	-83.845726
2444.018555	-68.130753
2449.401855	-60.136635
2454.785156	-60.772507
2460.168457	-64.910919
2465.551758	-65.169823
2470.935059	-85.042137
2476.318359	-68.441849
2481.701660	-68.925354
2487.084961	-73.255684
2492.468262	-69.040512
2497.851562	-66.092003
2503.234863	-67.127907
2508.618164	-65.387573
2514.001465	-64.744026
2519.384766	-63.325134
2524.768066	-69.750145
2530.151367	-71.411255
2535.534668	-73.261337
2540.917969	-79.579094
2546.301270	-68.212730
2551.684570	-63.793415
2557.067871	-61.929424
2562.451172	-59.640335
2567.834473	-60.837223
2573.217773	-64.933167
2578.601074	-71.182457
2583.984375	-69.873436
2589.367676	-81.265289
2594.750977	-89.828323
2600.134277	-74.382195
2605.517578	-73.632042
2610.900879	-77.560120
2616.284180	-68.986038
2621.667480	-75.789841
2627.050781	-68.898224
2632.434082	-65.324295
2637.817383	-58.941811
2643.200684	-59.763062
2648.583984	-74.234383
2653.967285	-76.551483
2659.350586	-80.696510
2664.733887	-78.781693
2670.117188	-72.808792
2675.500488	-68.828461
2680.883789	-71.980476
2686.267090	-79.487473
2691.650391	-76.536232
2697.033691	-68.828011
2702.416992	-67.253716
2707.800293	-68.992218
2713.183594	-69.307175
2718.566895	-72.180954
2723.950195	-74.624344
2729.333496	-73.679321
2734.716797	-60.552952
2740.100098	-61.539906
2745.483398	-61.234760
2750.866699	-59.650620
2756.250000	-68.863472
2761.633301	-65.104630
2767.016602	-62.738316
2772.399902	-67.340034
2777.783203	-72.566376
2783.166504	-85.080101
2788.549805	-65.550102
2793.933105	-70.630135
2799.316406	-68.595047
2804.699707	-69.856583
2810.083008	-79.541283
2815.466309	-70.725311
2820.849609	-83.012871
2826.232910	-73.035843
2831.616211	-65.449760
2836.999512	-78.417992
2842.382812	-65.968445
2847.766113	-72.027435
2853.149414	-78.675850
2858.532715	-70.421120
2863.916016	-66.600357
2869.299316	-62.916958
2874.682617	-68.385826
2880.065918	-64.302437
2885.449219	-61.964455
2890.832520	-69.175339
2896.215820	-75.215080
2901.599121	-66.047546
2906.982422	-70.920341
2912.365723	-78.431725
2917.749023	-85.665741
2923.132324	-69.991844
2928.515625	-73.369537
2933.898926	-65.868858
2939.282227	-62.167622
2944.665527	-57.320988
2950.048828	-59.590393
2955.432129	-57.914757
2960.815430	-59.357059
2966.198730	-62.648914
2971.582031	-67.562920
2976.965332	-60.745262
2982.348633	-70.362762
2987.731934	-63.155930
2993.115234	-70.599312
2998.498535	-75.016380
3003.881836	-85.994858
3009.265137	-77.457893
3014.648438	-72.262924
3020.031738	-80.179916
3025.415039	-76.554741
3030.798340	-66.577385
3036.181641	-62.987400
3041.564941	-63.286209
3046.948242	-71.250061
3052.331543	-80.558456
3057.714844	-70.006989
3063.098145	-71.430748
3068.481445	-68.206520
3073.864746	-61.021484
3079.248047	-57.479725
3084.631348	-57.533627
3090.014648	-63.159241
3095.397949	-70.233383
3100.781250	-74.737610
3106.164551	-71.394676
3111.547852	-71.962646
3116.931152	-65.678162
3122.314453	-57.881912
3127.697754	-58.525799
